,escola,postal_code,district,neighborhood,tipus,no2_corregit,no2_2017,census_track,renta,poblacio
190,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,aula,25,24,8038,11332,1505
191,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,fons,41,39,8014,12322,1230
192,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,fons,37,36,8014,12322,1230
193,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,fons,40,38,8013,14060,1222
194,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,46,44,8011,15773,1213
195,Escola Timbaler del Bruc (Nou Barris),8031,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,53,51,8011,15773,1213
196,Escola Timbaler del Bruc (Nou Barris),8031,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,51,49,8005,14200,1161
197,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,65,63,8014,12322,1230
198,Escola Timbaler del Bruc (Nou Barris),8027,Sant Andreu,el Congrés i els Indians,tràfic,54,52,9076,13545,1419
199,Escola Timbaler del Bruc (Nou Barris),8027,Sant Andreu,el Congrés i els Indians,tràfic,45,43,9076,13545,1419
200,Escola Timbaler del Bruc (Nou Barris),8027,Sant Andreu,el Congrés i els Indians,fons,37,36,9076,13545,1419
201,Escola Timbaler del Bruc (Nou Barris),8027,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,47,45,8017,15071,1336
202,Escola Timbaler del Bruc (Nou Barris),8027,Sant Andreu,el Congrés i els Indians,tràfic,40,38,9075,13624,1531
203,Escola Timbaler del Bruc (Nou Barris),8027,Sant Andreu,el Congrés i els Indians,tràfic,42,40,9075,13624,1531
204,Escola Timbaler del Bruc (Nou Barris),8027,Sant Andreu,el Congrés i els Indians,tràfic,41,39,9076,13545,1419
205,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,45,43,8012,13907,1348
206,Escola Timbaler del Bruc (Nou Barris),8027,Sant Andreu,el Congrés i els Indians,tràfic,48,46,9079,14992,1609
